,careerjunction_za_courses,careerjunction_za_employer_names,careerjunction_za_future_jobtitles,careerjunction_za_historical_jobtitles,careerjunction_za_primary_jobtitle,careerjunction_za_recent_jobtitles,careerjunction_za_skills,id
176,"[Sap Bpc10 Associate,Ict,Matriculated]","[ABSA Bank,Eskom Holdings]","[SAP BPC/CO,SAP BW,SAP BI,SAP BO]",[],SAP BPC Co Solution Support and Developer,[Sales Consultant],"[Vb.Net,Vb,Oracle10g,Sap Bpc,Rpg-Iv,Sap Bw]",177
177,[B.Sc Computer Science],"[IBM,Naspers - Media24,National Accelerator Centre,Shocked Technology Solutions,Systems Relational Marketing Interactive,Thari Consulting]",[],"[IT Consultant,IT Specialist,JNR Developer]",IT Architect Project Manager and Systems Analyst,"[Team Lead and Lead Analyst,Senior Web and Application Analyst & Developer]","[Systems Analysts,Solutions Architecture,Infrastructure Architecture,Project Management]",178
178,[ITNIS (Information Technology Network Integrated Specialist)],"[Allworldit (LBSD: Linux Based Systems Design),Enterprise Commerce Systems (Petrosa),Fontera,Honey Badger,Knowledgetree,Mesafrica (Petrosa),Mira Networks,Rocketseed,University of The Western Cape Fsiu]","[Developer,PHP Developer]","[Software Engineer,Senior Developer,Developer,Developer,Developer,Associate Systems Engineer]",Developer,"[Developer,Developer]","[Excel VBA Script (Excel Macros),Javascript,Git,VtigerCRM,Postgres PL/Pg SQL,MySQL,Java,WHMCS,Zend Framework 2,Python,Scrum,HTML,MS.Net,jQuery,Apache Solr (Search Indexing),OOP,Laravel,WordPress,Flot Charts,Firebird,HTML5,VTigerCRM,Flot,Posgres PL/SQL,CakePHP,CSS,Symfony,Javascript (Jquery),Websockets,GIT,Apache,Mysql,PHP,Linux,Bash,C++,C]",179
179,"[2 Day Course In Javascript Fundamentals,Diploma In Web Development & Multimedia,Diploma In Graphic Web Design & Development,Matric With Distinction]","[IIS Group,CareerJunction,Groenland Kwekery (MY Own Business),Bagsdirect]","[Front-end architect,UX Designer,User Interface Architect,Front-End Developer,Front End Web Developer,Web Developer,Web Designer]","[Design Assistant,Entrepreneur Owner]",Graphic User Interface Architect,"[Graphic User Interface Developer GUI,Senior Web Developer]","[CSS2.1,HTML4,CSS3,Javascript,SASS,Responsive Design,HTML5,JQuery,Cross-device and browser compatability,Search Engine Optimisation,Photoshop,Balsamiq Wireframes,UX (User Experience),Front-End Standards Documentation,PHP (Front-end only),Dreamweaver,Flash Actionscript 2,Git,XML,Freehand,XSLT,Corel-Draw,Flash Animations]",180
180,[Three Year Diploma in IT Software Development],"[MTN Call Centre,Novigo (pty) Ltd.]","[Software Developer C#.NET,Software Developer]",[],Software Developer C#.NET,[Sales Clerk],"[.NET,Programming Logic and Design,Business Information Systems,SQL (all variants),Interaction Design,C#,IT Project Management,android,Analytical Techniques,Information Security,html,Open Source Coding,Java,Software Quality and Testing,css,php,javascript]",181
181,"[MCTS - SQL Server,MCP -  VB .NET,MBA]","[Cape Town Airport,Integr8is,Revenuered Africa PVT]",[Seniro .Net Developer],[],Senior .NET Developer,"[Senior .NET Developer,Senior .NET Dev]","[EF,CMS,.Net,SQL Server,Asp.Net,ADO .Net,IIS,CSharp And VB.Net,Silverlight 4 ,5,SVN,SQL  Server,Entity Frame Work,CMS(DNN & Orchard),Ajax,WCF,TFS,MVC,Jquery]",182
182,"[Microsoft Accreditation,Entrepineership,Matric]","[Innovation Group,Pierre van Ryneveld,Premier Foods,Quantum Edge,Sandbox Projects]",[Software Developer],"[Salvage Consultant,Call Centre Agent,Monitor and Couch]",Software Developer,"[Implementation Consultant,Support Consultant]","[Poeple Skills,S Office 2010 and 2013,MS Great Plains 2008,MS Great Plains 2010,M,Time Management,MS Office 2010 and 2013,PHP,JAVA Script,SQL 2008 & 2012,HTML,FTP Software,Visual Studio 2010 2012 & 2013,Independent Decision Making,My SQL,VM Ware,Remote Desctop,TCP/IP,Visual Basic,C#,CRM,C++]",183
183,"[Principles of Business Analysis,Aris 7.2 Business Designer,B.Sc,Senior Certificate]","[Eskom,Linxus Pty Ltd,Tipp Focus Consulting,Trivector]","[Process Analyst,COMPUTER SCIENTIST]","[Business Analyst,Junior Business Analyst,Junior Developer]",Process Analyst,"[Business Analyst Consultant,Business Analyst Consulting at Ekhuruleni Municpality]","[Process Modelling,Process Analysis,Business Requirements Gatheringh,ARIS Tool Modelling,ARIS]",184
184,"[Software Development,Senior Ceriicate]","[ABSA,Code Interlace IT,Reverside]","[C# Developer,PHP Developer,Javascript Developer,Software Developer,System Analyst and Databse]",[Intern Software Developer],Junior Mobile Developer,"[Junior FullStack Developer,Junior Developer]","[CSS,ASP.NET,C#,Javascript,HTML,PHP,ASP .NET MVC,HTML5,Jquery,iOS,SharePoint,Moodle,Oracle,VB.Net,Android,Ruby On Rails,C++,Web Service]",185
185,"[B.Sc Computer Science,Diploma In Datamatrix,International Computer Drivers Licence,Workflow Administration,Delphi Programming,Science Access Course,Visual Basic Programming,Computer Hardware Certificate,Programming Diploma,Computer Literacy,Matric]","[Aventura Resorts,Contracted at Department of Water Affairs)For AST]",[],[],Developer,[Junior Programmer],"[Visual Basic,Microsoft Access,Ms-Dos,Windows 2000,Ultimus,Borland Delphi,Windows 95,Borland C++ 3 & 4,Windows 98,Informix 4gl,Windows Nt,Unix-Sco,Data General Unix (Dg Ux),Informix Sql,Visual C Plus Plus,MS SQL Server]",186
186,"[Business Administration,Senior Certificate]","[Bidvest groups,Coin Security,Smollan Group,YAB Business Solutions]",[Administration officer],"[Merchandising,Security Officer]",Business Developer Officer,"[Stock Controller,Administration Assistant]","[Microsoft office,Microsoft outlook,office administration,information systems,bookkeeping,management,&amp; Business Law]",187
187,"[Bachelor Of Science,Bachelor Of Science]","[Accenture South Africs,AFS Group,Computer Foundation (A Member of Arivia.Kom),Information Systems Partners (Microsoft Gold Partn,Multimedia Concepts,Nedbank,Shoprite Checkers,Unischool]",[Business Intelligence Manager],"[Junior Systems Analyst', u""System's Support Consultant Analyst"", u'Junior Oracle PL SQL Developer Analyst,Computer Literacy Tutor,Perishable Merchandiser]",Business Intelligence Manager Data,"[Business Intelligence Technical Consultant,Business Intelligence Developer]","[Microsoft Office Package,Microsoft Access, Flash,,Microsoft Sql Server 2005,Microsoft Sql Server Integration Services (Ssis),Business Intelligence Skills,Business/Systems Analysis Skills,Microsoft Reporting Services,UML,Oracle Pl/Sql,Flash,Microsoft Analysis Services,Magik(Object Oriented) Programming,C++, Java - At University,Vis Basic,Sql,Prolog,Vrml,Perl,Unix - University]",188
188,"[Ituc Diploma,Senior Certificate]","[Nedbank,Standard Bank]","[Senior Technical Specialist,Manager,Application Development Manager,Scrum Master,Manager]",[Senior Analyst Developer Technical Specialist 2],IT Production Support Manager,"[Scrum Master,Senior Technical Specialist]","[DB2,Cobol Mainframe,Unix (Ibm Aix),Business Objects,Sungard Global One Treasury System,ITIL,Cics,JCL,Sql Server 2000,Visual Basic 6,Ansi C,ITIL Foundation,Foundation - Management,Java,Management Essentials,Websphere Application Server,Sql 2005,SAS,ITIL Service Strategy,ITIL Service Operations,TOGAF,Scrum Master,SAFe Certified,ITIL Continual Service Improvement,ITIL Service Design,Sas Programming]",189
189,"[Bachelor Of Sciences Degree,Matric Certificate]","[Great Outdoors Touring Company,Italian Chamber of Commerce,N-Sureline!]",[],[],Call-Up Computer Technician,"[Web-Site and ASP Developer,Data Capturer]","[Basic Hardware And Software Technician,Html Developement (More Recently Asp Developement),Basic Tcp/Ip P2p Network Creation,Tutoring,Data Capturing]",190
190,"[Bsc Information Technology Management,Certificate In Datametrics,MCSE,A++]","[Bank in Amsterdam,BCX,Multichoice,UCS Solutions]","[Principal Integration Developer,Integration Executive,Integration Executive]","[Integration Developer,Remote Desktop Support Consultant,Call Center Agent]",Integration Developer,"[Webmethods Integration Technical Manager,Webmethods Integration Developer]","[Office,Webmethods,Java,C++]",191
191,"[Computer Science,Senior Certificate]","[Communica PLC - UK,Debeers Group,Fihrst Management Services,First National Bank \u2013 First Rand Bank,Future Projects,IDI Technology Solutions,Kerridge Computer Company,Knowledgeworx,Maurice Kerrigan,Micro Distributors,Mint NET,Old Mutual,Tat-I-Chain]",[Senior developer],"[Moss 2007 Developer,Microsoft Dynamics CRM 4.0 Developer,Lead C# Developer,Solutions Architect Developer,Software Solutions Architect,Software Developer Architect,Software Solutions Architect 2ND Contract,Solutions Architect,Systems Development Project Manager,Commercial Support Analyst Web Developer,Systems Development Project Manager,Network Specialist & Programmer,Web Developer & System Administrator]",Senior .NET Developer,"[Senior Developer,Senior ASP.NET Web Developer]","[Windows,Html / Dhtml,Web Development,Internet,Asp.Net,IIS,Database Concepts,Visual Studio 2005,Systems Architecture,Requirements Analysis,C#,Javascript,Microsoft Office,XML,T-Sql Programming,MS SQL Server 2005,Documentation,Dimensional Modeling,Etl Architecture,It Team Leadership,Networking Principles,Apache,Linux,Crm 3.0,Erp Concepts,DAO,Xslt,Bengal Database Replication System,WCF,Visual Studio 2008,JSP,Java,It Project Management,WSS,Moss 2007,UML,Crm 3.0 Development And Integration,Com / Com+,Business Intelligence,Data Warehouse,Visual Basic,Ajax,Vb Script,Assessing (Isett-Seta),Silverlight,Windows Mobile Development,WPF,Ca-Xcom]",192
192,"[Municipal Finance Management Program,Bsc Honours In Information Systems,Btech In Information Technology,National Diploma In Information Technology,Matric]","[AST Group,Discovery Health,Edge Consulting (Vodacom),Gijimaast,Natal Technikon,Newcastle Municipality]","[IT Manager,Software Development Manager,Enterprise Architect,Software Development Manager,Enterprise Architect]","[Java Developer,Senior Programmer,Junior Programmer,Tutor]",IT Director,"[Assistant IT Manager,Java Developer Technical Lead]","[Java,J2ee,SQL,UML,EJB,Ant,Portlets,Visual Basic,Asp,Spring Mvc,Ibatis,Hibernate,Pl/Sql]",193
193,"[SAP ABAP Certification,Diploma Computer Programming]","[Bransystems,Mars Tech,T-Systems]",[SAP ABAP Developer],[],Senior ABAP Developer,"[Senior Abap Developer,ABAP Developer]","[Technical Specifications,Test Solutions,User requirements anaylysis,implement solutions,train end user on solution,Develop solution,SAP Abap Developer,SAP ABAP Developer,Visual Basic .NET]",194
194,"[Mcom Informatics,Bcom Hons Informatics,Non-Degree Purpose,B Tech It,Information Technology,International Certificate In Computer Studies]","[Accenture,Alicornio Africa,Council for Scientific & Industrial Research (CSIR),Department of Public Transport, Roads & Works,Government,Infocus,Moyo Business Advisory,Telkom]","[Business Analyst,Process Analyst,Integration Consultant,Junior Project Manager]","[Business & Systems Integration Consultant,System Support Consultant,Intern,Intern Network Administrator,Intern]",Business Consultant,"[Analyst,Technician Developer]","[business writing,business analysis,process modelling,communication,Project management,analytical,presentation,facilitation,Computer Literacy (MS Office),Communication Skills,Use Cases And User Stories,Analysis Skills,Interpersonal Skills,Report Writing Skills]",195
195,[National Diploma : Information Technology],"[First National Bank,IBM (Penta Consulting),IT Ecology,MTN,Rubric Consulting,Telkom,Test & Data Services,Tribal Gold(Ilab),UTI]","[Test Analyst,Performance Test Analyst]","[Technical Test Analyst,Senior Performannce Tester,Performance Analyst,Ops Specialist ITS QA Testing Performance,Software Developer,Application Support Specialist,Senior Programmer]",Performance Analyst,"[Technical Test Analyst,Performance Testing Engineer]","[Neoload,Visual Studio,C++,Pl/Sql,C,Tuxedo,Sofware Testing,Loadrunner,Unix,Microsoft Access,Visual Basic,Clarify 12,Quick Test Professional]",196
196,"[B.Tech : Information Technology,Nd : Information Technology]","[2cana Solutions,Adapt I.T.,Altech Isis,Pepkor IT,South African Sugar Association,Technikon Natal - User Support]","[Analyst / Developer,Senior Developer,Developer,Senior Oracle Developer,Senior Developer,Developer]","[Developer,Analyst Programmer,End-User Consultant Technician]",Senior Analyst Programmer,"[Senior Oracle Developer,Senior Oracle Developer]","[Pl/Sql,Systems Analysis,Gap Analysis,Impact Analysis,Oracle Development,PL/SQL Development,Design,Systems Design,Analysis,Oracle,Oracle Forms And Reports (Various Versions),Technical Documentation,Performance Tuning,System Documentation,SQL Training,Quality Assurance,User Training,Mentorship,Visual Basic,Oracle Database Administration,Turbo Pascal,C++,Delphi,Clipper,Java]",197
197,"[IBM WebSphere Message Broker Version 8 Solution,Oracle Certified Associate: Java Se 7,Ccna : Network Fundamentals,B- Tech: Information Technology,Information Technology,A+,Senior Certificate]","[Telkom,The National Consumer Tribunal,TSC Technologies,Vicitude Business Solutions]",[Java Developer],[Contract Administrator],Application Support Specialist (Developer),"[Java Developer,Jumpstart Labs Java Developer Learnership]","[Team Player,Good Communicator,Matured,Self-Driven,Good Professional Etiquette,Submits to Authority,Mule ESB,Sonic ESB,Spring Framework,Web Servives,Maven,JMS,SOA,Visual Basic.Net,Java,Windows 8,Windows XP,Libre Desktop,UML Diagrams,JUnit,Windows 7,ERD Diagrams,MS Office,Oracle 10g,C#,SDLC(Agile Methodologies),SDLC(Unified Process),Scala,Functional Programming,PL/SQL,MySQL,Oracle 11g]",198
198,"[Certified Kanban Coach,PSM1,SPS - Scaled Professional Scrum,Prince2 Practitioner,Masters of Management (Information Technology - Software Development),B.Sc (Hons) Computer Science,B.Sc. Computer Science]","[Ansys,Kinship Enterprise,SDT Financial Software Solutions]",[Scrum Master],[],Scrum Master,"[Solution Architect,Software Developer]","[CSM,Scaled Professional Scrum,Kanban,IIS,PSM,Asp.Net,SPS,SQL,.Net,Visual Studio,Kanban Certified Coach,Certified Scrum Master,JavaScript,Software Development,Professional Scrum Master]",199
199,"[Oracle Certified Professional (Ocp 9i),Matric]","[Business Connexion,Faritec Holdings -Ibm Hospital Project,Fusion-Ics,Ricoh UK,Shazam Intertainment,Stortech]","[Sr. Oracle DBA / Team Lead,Oracle DBA Manager,Oracle DBA Manager]","[Oracle DBA,Junior Operations Manager,District Service Manager]",SR. Oracle DBA PL Sql-Developer,"[Senior Oracle DBA Oracle Application Server DBA,Senior Oracle DBA]","[Rman Backup & Recovery,Toad,Oracle Database Administrator 8i/9i/10g/11g,Oracle Sql And Plsql,Oracle Database Migrations,Oracle Sql Loader,Oracle Db Performance Tuning (Statspack, Addm Etc),Linux/Unix Shell Scripting,Oracle Datapump, Export/Import,Oracle Enterprise Manager 9i & 10g,Plsql Developer,Microsoft Windows Xp/Vista/7,Windows Microsoft Office,Cvs (Tortoise),Red Hat Linux Administration,Oracle Auditing,Oracle Change Data Control (Cdc),Oracle Data Guard,Oracle Enteprise Manager Grid,Alpha Tru-64, Hp-Ux Administration,Project Management From An Oracle Perspective,Qlikview Designer,Oracle Database Appliance,Vmware,Qlikview Developer,Oracle Snapshot Replication,Oracle Advanced Multi-Master Replication,Oracle Application Server 10g Administration,Oracle Text,Oracle Streams,Sql Navigator,Sql Server Administration]",200
200,"[ISEB/ISTQB Intermediate Certificate,Isseb/Istqb Foundation Certificate,Quicktest Professional,Hp Quality Centre,Loadrunner,Test Team Build (Ttb),Oracle Software Developer,Degree (Bachelor Business Systems) - It]","[ABSA Bank,Dake Solutions,First National Bank,First National Bank Hogan Tech,Hogan Technologies,Micro to Mainframe,Multichoice,Oracle University Campus,Wesbank]","[Test Automation Specialist,Technical Tester,Tool Support,Technical Tester,Tool Support]","[Test Automation Specialist,Test Autmation Specialist,Test Automation Engineer,QA Tester,.NET Developer,Oracle Software Developer]",Automation Specialist,"[System Administration,Test Manager]","[QTP,ALM,UFT,Quality Centre (Testdirector),Quicktest Professional,Functional Testing,Oracle,Verification & Validation,MS SQL,Vusual Studio.Net,Perfomance Center,Software Development,Python,Selenium,XML]",201
201,"[Java Programmer,Senior Certificate]","[Chg-Software,Genussoft]",[Developer],[],Senior Analyst Developer,[Director Developer],"[Delphi Development,Object Orientation Development,Rendering Engines,Opengl,3dmax Studio Modeling (Including Maxscript),Database Development,Android Development,C++,Sql Language,Directx 6.0 - 9.0 Develoment,Java Language (Sun Microsystems J2ee Diploma)]",202
202,"[Ado.Net + Database Design,Sql Server 2000 + T-Sql,Introduction To Vb.Net,Cobol Programming,N4 + N5 Computer Stry 84%]","[Shoprite/Checkers,Spotlight Interactive,Talking Shop]",[],[],Developer,"[Analyst Programmer,SQL DBA]","[Microsoft Office,Windows 98,Xp,Vista,Java Script,Cobol/Flexgen,Sql Server 2000 - 2008,Final Builder,Installshield,vb6,Vb.Net,Sourcesafe,Ado.Net + Database Design]",203
203,"[Foundation Peak Performance Programme,ITIL V3 Foundations,Information Technology Programming,Grade 12]","[Discovery Health,PetalTheory Media+Technology]","[Analyst,Business Analyst,BI Analyst,Web Developer]",[Junior Web Developer],Problem Analyst,"[Query Analyst,Service Desk Agent]","[Problem Analysis,Proactive Problem Management,Trend Analysis,including but not limited to: recreating the issues in a test environment,knowledge Management,Reporting,Root Cause Anaysis,Programming Logic And Design,It Project Management,Review a business/ technical specification prior to development and identify any potential problems that could be created with the proposed solution,Identify any missed requirments]",204
204,"[Certificate,Pharmacist Assistant,Matric]","[Academy One Pty Ltd,North West University,Zao Ministries (PBO)]","[Learning Coordinator,Learning and Development Manager]",[],Office Manager,"[Head of online training,Short Course Manager and Programme Developer]","[Procurement,Client liaison,Financial Management \u2022,Negotiating,Business Management,Professional Bodies,Course and training administration,Management skills,Education management,Registration of courses,Learning Management System,Strategic Thinking,Identify skills shortage,Student administration,Problem Solving,Microsoft Office,Project Management,Event management,Marketing,Internet and e-mail,IT]",205
205,"[PHP Engineer,Information Technology,Matriculation With Exemption]","[Derivco,Ignition Group,Junk Mail Publishing Group,Kaitech]","[Software Developer,Programmer]",[ASP Developer],Software Developer,"[PHP Developer,Software Developer]","[AJAX,JSON,Javascript,PHP,SQL,MS ADO,MySQL,jQuery,Classic ASP,Apache Solr,SVN,Laravel,SOAP Web Services,Code Ignitor,REST Web Services,Slim Framework (REST API),GIT,NodeJS,Selenium,Linux,MongoDB,CouchDB,EmberJS]",206
206,"[SAP Abap Certified,Bsc Computer Science And Statistics]","[Commercezone,MR Price Home Trading Store,University of Limpopo(School of Math & Cosc)]",[Information technology],[],SAP ABAP Developer,"[Lab Assistance,Shop Assistant]","[sap workflow,smartforms,erp,abap,web dynpro,css3,C++,Java,Assembley Language,C#]",207
207,[],[First Technology],"[Juinor Developer,Junior Analyst]",[],Assistant to Senior Developer,[],[],208
208,"[SAP Abap with Netweaver,IT National Diploma,System Development NQF4,IT and Computer Science NQF3]","[Baraka Technology Group,Hages Business Solutions,iBusiness Networking]",[SAP ABAP Consultant],[],SAP ABAP Consultant,"[Junior SAP ABAP Consultant,Web Developer]","[Java,SQL,C#,VB.Net,Javascript,HTML,SAP ABAP,mySQL,php,CSS]",209
209,"[Master Of Computer Applications,Bachelors In Computer Science]","[IBM India PVT,Logikal Consulting,Miracle Software Systems India PVT,Syntel India]",[Sr.EDI Specialist],[Edi Developer],Sr.Edi Specialist,"[Edi Consultant,Edi Consultant]","[Sterling Intehgrator,EDI]",210
210,"[BSc Computer Science and GIS,Matric]","[Accenture,Capaciti1000,Truworths Head Office]",[Java Developer],[],Junior Java Developer,"[Intern,Intern]","[Hibernate,Spring MVC,SQLite,Java,Tomcat,SVN,SQL,JSON,MySQL,Angularjs,Cordova,CSS3,HTML5]",211
211,[Senior Certificate],"[BackBone Solutions,Dsmax]","[Web Developer,Systems Administrator,PHP Developer,Front-End Developer]",[],Web Developer,[Training Manager],"[CSS,Laravel,JSON,HTML,MySql,PHP,Computer Literacy,Communication,AngularJS,Javascript,Mysql,Jquery,Gaming,Microsoft Office,Project Management,Team Leader]",212
212,"[computer science and mathematics,National Senior Certificate]","[Discovery,Mazwe Credit,Telesure Insurance Company]","[Java Developer,Database management,Business Analyst,Business Intelligence,Linux Bash Scripting,Data Analyst,RPG Developer]",[],JAVA and RPG developer,"[RPG Developer,Software Release man]","[sql developer,rpg developer,java developer,database administartor,support desk,business intelligent,C# developer,C++ developer,android developer]",213
213,"[Masters Degree In Business Leadership (M.B.L.),B Com Industrial Psychology]","[Antwerpse Bottel Mpij NV Coca-Cola,College Campus Parktown,DIE Vaderland, Perskor,IMD George & Damelin George,Independent Institute of Education (Iie),In-George Business Guide,Nedbank,Port Elizabeth Technicon,Sterns Jewellers,United Bank - NOW ABSA Bank,University of Johannesburg]",[],"[Senior Lecturer,Business Consultant Publisher,Lecturer,Regional Loans Development Manager,Financial Journalist,Exchange Student Aiesec,Department Manager Foreign Exchange,Assistant Store Manager]",Moderator,"[Course Developer,Lecturer]","[Lecturing,Computer Literate - Word, Excel, Powerpoint,Pastel,Journalism - English And Afrikaans]",214
214,"[BComm,Diploma in Datametrics,BSc]","[Mondi Board Mills,PP Leventis Consulting,QQBI,Richards Bay Minerals]","[BI Consultant BI Developer,Data Warehouse Developer,Data Architect,Senior SQL Developer,Demand Planning and Replenishment Anlyst and Developer,ASP.NET MVC Development]",[Technical Programmer],Managing Developer,"[Sole Proprietor,Project Leader]","[BI Cube Development,Integration Developer,Java Developer,Dimensional  Modelling,Database Development,Visual BASIC Devloper,Baan ERP Tools Development,Self Service BI Practitoner,Report Creation and Distibution,SQL Developer,SSAS,SSIS,ASP.Net MVC C# Development,Demand Planning and Replenishment Development,SQL Development,Normalised Database Development,Dimensional Modelling,BI]",215
215,"[TOGAF 9 Foundation,Certified Ethical Hacker,B.Com (Information Systems)]","[Engen,Engen Petroleum,on The DOT (Media 24)]","[Solutions Architect,Software Architect,Technical Lead,Development Lead,.Net,C#,Application Architect,Team Lead]","[SQL Server DBA,Developer SQL ASP.NET Sharepoint]",Solutions Architect,"[Principal Solution Design Specialist,SNR SQL C# ASP.NET Sharepoint Developer]","[.Net,C#,Html/Css,Mentoring,Team Lead,Systems Analysis,T-SQL,MS SQL Server,Javascript,MS SQL Server DBA,IIS,Software Architecture,Jquery,ASP.Net MVC,Windows Server (2003-2012),CI (TeamCity/Octopus),Web API,HTML 5,MongoDB,GIT,WCF,TypeScript,TOGAF,Information Security,ASP.Net Web Forms,Sharepoint,TFS]",216
216,"[Bsc Information Systems,Hnd(Higher National Deploma - 2nd Year),Comprehensive Programming,Grade 12/Senior Certificate]","[4 ECT (Episerver),Barloworld-Logistics,Draft Fcb(Hello Computer),EOH Microsoft Coastal (Airborne Consulting),Korbitec,Mochron Investments]","[Software Developer,Software Engineer,Software Engineer]","[Software Tester,Developer,Junior Developer]",Software Engineer,"[Software Engineer,.NET Developer]","[Asp .NET,Mvc 4,Html5,SQL,Xhtml,Microsoft Office,CSS,C#,Javascript,Java,Oracle,I.S Project Management]",217
217,"[Imports And Exports,Matric]","[Infosat (Sentec),Internet Solutions,Nokia,PQ Africa,TAG (The Accessory Group)]",[],"[Accounts Executive Merchandiser,Business Developer]",B2B Operator Sales Manager,"[Key Account Manager,Account Executive]","[Customer Relations,Email,Sales,Telephone Skills,Typing,Presentation Skills,Strategic,Microsoft Excel,Networking,Pricing,Proposal Writing,Retail Management,Retail]",218
218,"[Flash Programming,Musicology', u""Grosvenor Boys' High School""]","[Computers & Design (Cad),Currently Freelancing,Derivco - Micrograming', u""Four Season's Hotel Group"", u'Freelance / Roots & Wings,South East Asia Entertainment / Pixel2film,Synergy Corporate Technologies,Systems Technology Consultants,Ukubona Digital Design]",[],"[Designer,Web Designer Publisher Flash Presentations,SNR Flash Developer Designer Sound and Tech Lead,Multimedia Designer,Flash Designer Animator,Musician Arranger Composer,Musician Arranger Composer]",Sound & Flash Designer,"[Designer,Portfolio www.pixel2film.com Funkijazz]","[Macromedia Flash,A Whole Host Of Sound Creation / Editing Software,Adobe Photoshop,Macromedia Dreamweaver,Macromedia Freehand,Adobe Premiere,Html, Javascript, Xml]",219
219,[],[Department of The Premier(Pgwc)],[],[],Analyst Developer Internship,[],[],220
220,"[Microsoft Certified Solutions Developer - Web Applications,Microsoft Specialist - Programming in C#,Nd National Diploma]",[Telkom],"[Web Developer,Developer,Developer]",[Ops Specialist],Web Developer,"[Oracle Database Administrator,Developer]","[C#.,Microsoft Visual Studio.Net (Asp.Net),HTML/Jquery/CSS,ASP.Net,Microsoft Sql Server 2008 R2 (Sql),Microsoft Sql Server 2005 (Sql),sharepoint 2013,microsoft sql sever 2012,J2ee,Toad (Oracle),webogic 8.1]",221
221,"[computer softwear engineering,Bachelor]","[Jamab,Pepkor IT,Saipa,Saipa Disel]",[Oracle Developer],[Oracle Developer],Oracle Developer,"[System Admin,Senior Oracle Developer]","[Pl/Sql,oracle pl/sql,oracle form,Oracle Report,oracle tools,excell,office,Oracle Discoverer,Excel,visio,Microsoft Access,PowerPoint,MS Word]",222
222,"[Management Development Programme (MDP),Project Manager,Fashion Designer]","[Afroccentrique,Mzansi Magic,SABC,Unilever]","[Content Developer,Content Manager,Broadcaster,Writer,TV Producer,TV Presenter,Scriptwriter,Script Editor,Channel Manager,Head of Channel,Head of Content]","[Commissioning Editor,Senior Commissioning Editor]",Business Mentor,"[Consultant Developer,Head of Drama]","[Television Broadcasting,Script Editing,Proposal Development,Presentation,Content Management,Television Commissioning,TV Presenting,Content Development,Brand Integration,Film & Video Production,Writing,Leadership,Workshop Facilitation,Budget Development,Management Development,Brand Development,Project Management,Training & Development,Branding,Creative Direction,Brand Management,Budget Managment,Communication,Marketing,Business Management]",223
223,[Computer Science],"[Comarton,Comarton Consultants,Zimhosts]","[PHP Web Developer,Intermediate PHP Developer,Junior PHP Developer,PHP Developer]",[Web Designer],Systems Programmer,"[Trainee Systems Programmer,Web Developer]","[php,MYSQL,CSS3,HTML5,SQL,CRYSTAL REPORTING,GOOGLE APP ENGINE,JQUERY,JAVASCRIPT,VB.NET,APACHE,WORDPRESS,LARAVEL,GIT,MAGENTO,ZEND FRAMEWORK2]",224
224,"[Junior Management Programme,Bsc Honours Applied Mathematics,Bsc Mathematical Sciences,Matric Certificate]","[Institute of Mine Seismology (Previous ISS International),Nedbank Business Banking,Nedbank Private Wealth,PBT Group,University of Stellenbosch]","[Senior Credit Risk Analyst,SAS Team Lead,Quantitative Analyst,Data Analyst,Data Scientist,Investment Analyst,Credit Risk Analyst,Statistician]","[SAS Developer,Seismologist,Applied Mathematics Class Assistant]",Senior Credit Risk Analyst,"[Manager Credit Risk Value Analytics,MIS Analyst]","[SQL,Excel,SAS,Word,Power Point,SharePoint Administration,Matlab,Python,Visual Basic,Open Source Office,JAVA,R,Bash Scripting]",225
225,"[MBA,Nhd (T4) Chemical Engineering,Diploma In Human Rights]","[Colgate Palmolive,Mint Company,PG Glass,Renaissance Connections,Renglass & Tyres,Tiger Brands,Unilever]","[LEADERSHIP,STRATEGIC,OPERATIONAL,MANUFACTURING / BUSINESS MANAGEMENT,MANUFACTURING / BUSINESS MANAGEMENT]","[Plating Unit Manager,Proction Unit Manager,Process Engineer Shift Manager,Process Eng. Trainee]",Business Director and Developer,"[Roaving Manager,Business Developer Entrepreneur]","[Production Planning And Scheduling,Excel, Word, Projects, Power Point, Publisher,Project Management,Staff-Skill Development, Couching,Financial And Cost Management,Industrial Relations, Disciplinary,Supply Chain Management,Profitabilty Management,She And Risk Management,Quality Management,Capex And Lep Management,Hazop,Business Management,Negotiation,Marketing And Sales,Production Management,Chemical Engineering,Hazan,Engineering Design And Optimisation,Hygiene Management,Unionised Labour - Ir,Climate And Change Management,Logistics,Iso 9002 / 14000,3 & 6 Sigma Quality System]",226
226,[Bachelors Degree in Computer Science of Engineering],[DSV],[Tibco BW Developer],[],Tibco Integration Developer,[],"[TIBCO BW 5.x EMS RV Web Service and Tibco Administrator,TIBCO palettes ADB Adapter,SOAP WSDL and Service palette,Databases such as Oracle 10G.,TIBCO Administrator for User Management Resource Management and Application Management.,Tibco BW EMS Tibco Administrator Data Base adapters File Adapters SOAP Utility and RV) SOA Client-Server and web service,JDBC JNDI XML]",227
